country,region,year,fertility_rate,birth_attended_staff_rate,child_mortality_rate,maternal_mortality_rate,average_life_expectancy,health_spending_per_person,health_spending_rate
Netherlands,EUR,1995,0.0153,0.0,0.006900000000000001,0.000105,77.7,2260.0,0.0833
Norway,EUR,1995,0.0187,0.992,0.005719999999999999,5.379999999999999e-05,78.0,3120.0,0.0914
New Zealand,WBR,1995,0.0211,1.0,0.008740000000000001,0.000122,76.8,1190.0,0.0707
Oman,EMR,1995,0.0535,0.911,0.0241,0.000572,67.9,223.0,0.0365
Pakistan,EMR,1995,0.0534,0.0,0.126,0.0029100000000000003,60.3,15.1,0.0326
Panama,AMR,1995,0.0285,0.883,0.027999999999999997,0.000579,76.5,228.0,0.07719999999999999
Peru,AMR,1995,0.0332,0.0,0.0583,0.00249,71.5,101.0,0.044800000000000006
Philippines,WBR,1995,0.0401,0.0,0.0438,0.000892,69.8,36.9,0.0345
Papua New Guinea,WBR,1995,0.0467,0.42,0.0795,0.00296,63.2,36.0,0.035
Poland,EUR,1995,0.0173,0.996,0.0144,0.00014900000000000002,72.0,199.0,0.0548
Portugal,EUR,1995,0.0146,0.0,0.00974,0.00011100000000000001,75.5,874.0,0.0753
Paraguay,AMR,1995,0.041100000000000005,0.0,0.038200000000000005,0.00117,75.4,112.0,0.0666
Qatar,EMR,1995,0.0359,1.0,0.0153,0.0008579999999999999,71.8,601.0,0.0371
Romania,EUR,1995,0.0137,0.991,0.027100000000000003,0.0005809999999999999,69.4,58.1,0.0349
Russia,EUR,1995,0.0134,0.991,0.0218,0.0006,64.8,113.0,0.0536
Rwanda,AFR,1995,0.0617,0.0,0.244,0.00445,46.4,10.3,0.0446
Saudi Arabia,EMR,1995,0.0498,0.914,0.0306,0.000543,69.4,228.0,0.0296
Sudan,EMR,1995,0.0583,0.0,0.12,0.00257,61.3,15.4,0.0336
Senegal,AFR,1995,0.06,0.0,0.14,0.0037600000000000003,59.2,22.9,0.0393
Singapore,WBR,1995,0.0167,0.0,0.00504,5.04e-05,77.1,728.0,0.0302
Solomon Islands,WBR,1995,0.052000000000000005,0.0,0.033600000000000005,0.0028399999999999996,56.6,47.3,0.0515
Sierra Leone,AFR,1995,0.0661,0.0,0.255,0.004070000000000001,50.6,32.0,0.14300000000000002
El Salvador,AMR,1995,0.0358,0.0,0.0446,0.00105,71.6,106.0,0.0638
Somalia,EMR,1995,0.0765,0.0,0.172,0.00424,50.3,4.62,0.0269
Serbia,EUR,1995,0.0189,0.987,0.019600000000000003,0.00017800000000000002,70.6,77.7,0.0732
Sao Tome and Principe,WBR,1995,0.0555,0.0,0.10400000000000001,0.0019199999999999998,64.1,67.2,0.0823
Suriname,AMR,1995,0.0301,0.8,0.040999999999999995,0.000947,70.9,82.5,0.0519
Slovak Republic,WBR,1995,0.0163,1.0,0.0119,0.00010700000000000001,72.7,222.0,0.0606
Slovenia,EUR,1995,0.0127,0.999,0.00744,5.9e-05,75.1,785.0,0.0746
Sweden,EUR,1995,0.0173,0.0,0.00483,4.84e-05,79.1,2290.0,0.0796
Eswatini,AFR,1995,0.048,0.0,0.0938,0.00109,59.3,87.5,0.0496
Seychelles,AFR,1995,0.0235,0.99,0.0143,0.0007440000000000001,71.0,353.0,0.0519
Syria,EMR,1995,0.0451,0.0,0.0296,0.000582,69.8,51.7,0.0552
Chad,AFR,1995,0.07429999999999999,0.0,0.2,0.00409,53.5,11.9,0.0578
Togo,AFR,1995,0.0576,0.0,0.135,0.00315,57.5,17.3,0.0459
Thailand,SEAR,1995,0.0187,0.0,0.0283,0.0007920000000000001,70.7,99.5,0.0353
Tajikistan,EUR,1995,0.0459,0.809,0.11199999999999999,0.000808,64.6,3.06,0.031
Turkmenistan,EUR,1995,0.0351,0.0,0.0855,0.000621,64.6,43.1,0.0308
Timor-Leste,SEAR,1995,0.0638,0.0,0.139,0.00375,62.6,35.1,0.0952
Tonga,WBR,1995,0.044500000000000005,0.0,0.019,0.00114,71.6,86.2,0.0393
Trinidad and Tobago,AMR,1995,0.0196,0.975,0.028999999999999998,0.000895,69.8,198.0,0.0469
Tunisia,EMR,1995,0.0261,0.81,0.0428,0.0007090000000000001,73.0,124.0,0.06150000000000001
Turkey,EUR,1995,0.0276,0.0,0.0545,0.000808,70.8,95.5,0.0251
Tanzania,AFR,1995,0.0588,0.0,0.157,0.0025800000000000003,52.9,6.29,0.0358
Uganda,AFR,1995,0.0702,0.378,0.16699999999999998,0.00122,48.0,16.9,0.0583
Ukraine,EUR,1995,0.0141,0.999,0.0203,0.00041500000000000006,67.0,49.0,0.0677
Uruguay,AMR,1995,0.024,0.98,0.0205,0.000333,73.7,689.0,0.115
United States,AMR,1995,0.0198,0.994,0.00946,0.000125,76.1,3750.0,0.136
Uzbekistan,EUR,1995,0.0353,0.0,0.0706,0.000303,65.7,22.7,0.0517
St. Vincent and the Grenadines,WBR,1995,0.027000000000000003,1.0,0.0223,0.0006609999999999999,70.5,110.0,0.0446
Venezuela,AMR,1995,0.0308,0.0,0.0262,0.0007059999999999999,72.6,144.0,0.0423
Vietnam,WBR,1995,0.0271,0.0,0.0391,0.000364,70.8,14.3,0.0509
Vanuatu,WBR,1995,0.0473,0.8909999999999999,0.0305,0.00122,63.3,41.2,0.0244
Samoa,WBR,1995,0.0475,0.0,0.0253,0.000901,67.7,56.0,0.047
Yemen,EMR,1995,0.0753,0.0,0.11199999999999999,0.0021899999999999997,61.1,39.5,0.0449
South Africa,AFR,1995,0.0311,0.82,0.0602,0.00117,62.9,273.0,0.07490000000000001
Zambia,AFR,1995,0.0619,0.0,0.18100000000000002,0.0025,46.8,21.8,0.056
Zimbabwe,AFR,1995,0.0443,0.0,0.10099999999999999,0.0013800000000000002,54.2,51.4,0.0876
Afghanistan,EMR,1996,0.07629999999999999,0.0,0.146,0.00441,54.7,0.0,0.0
Angola,AFR,1996,0.06849999999999999,0.225,0.221,0.00278,51.7,11.3,0.0217
Albania,EUR,1996,0.0251,0.912,0.0317,0.000153,74.5,43.0,0.0404
United Arab Emirates,EMR,1996,0.0323,0.0,0.0127,0.000181,68.9,731.0,0.0246
Argentina,AMR,1996,0.0271,0.0,0.0231,0.0006219999999999999,73.5,619.0,0.0803
Armenia,EUR,1996,0.018000000000000002,0.957,0.0373,0.000286,70.4,29.3,0.0581
Antigua and Barbuda,AMR,1996,0.0225,1.0,0.0197,0.00022400000000000002,74.0,354.0,0.0461
Australia,WBR,1996,0.0181,0.993,0.00677,7.290000000000001e-05,78.5,1760.0,0.0741
Austria,EUR,1996,0.0145,0.982,0.00636,5.739999999999999e-05,77.3,2790.0,0.0946
Azerbaijan,EUR,1996,0.0245,0.879,0.0922,0.00045999999999999996,65.3,25.1,0.062
Burundi,AFR,1996,0.0724,0.0,0.175,0.00532,43.0,8.25,0.0583
Belgium,EUR,1996,0.0161,0.0,0.0071400000000000005,7.2e-05,77.3,2150.0,0.0791
Benin,AFR,1996,0.06280000000000001,0.598,0.152,0.00375,56.9,18.6,0.0459
Burkina Faso,AFR,1996,0.068,0.0,0.193,0.0025399999999999997,50.0,11.9,0.0452
Bulgaria,EUR,1996,0.0128,0.999,0.0194,0.000429,69.3,55.2,0.0467
Bahrain,EMR,1996,0.0301,0.0,0.0166,0.000361,70.7,486.0,0.0455
Bahamas,AMR,1996,0.0244,0.0,0.0177,0.0004969999999999999,70.4,880.0,0.0692
Bosnia and Herzegovina,EUR,1996,0.0169,0.989,0.0122,0.000295,73.5,94.0,0.113
Belarus,EUR,1996,0.014,0.999,0.0155,0.000239,68.9,88.3,0.0624
Belize,AMR,1996,0.0401,0.0,0.027600000000000003,0.000366,72.2,102.0,0.0362
Bolivia,AMR,1996,0.0447,0.0,0.0936,0.00314,64.6,44.8,0.0463
Brazil,AMR,1996,0.0249,0.8759999999999999,0.045,0.0007469999999999999,69.5,350.0,0.06849999999999999
Barbados,AMR,1996,0.0173,0.0,0.015,0.000518,74.1,465.0,0.0616
Brunei,WBR,1996,0.0278,0.989,0.012,0.00035800000000000003,72.0,638.0,0.0361
Bhutan,SEAR,1996,0.044,0.0,0.0961,0.0032,64.2,27.4,0.047400000000000005
Botswana,AFR,1996,0.0384,0.87,0.0745,0.0014199999999999998,50.6,125.0,0.0416
Central African Republic,AFR,1996,0.0559,0.0,0.17600000000000002,0.0052899999999999996,44.2,11.3,0.0361
Canada,AMR,1996,0.0161,0.992,0.00671,7.26e-05,78.4,1830.0,0.0882
Switzerland,EUR,1996,0.015,0.0,0.00614,5.02e-05,79.3,4270.0,0.0995
Chile,AMR,1996,0.0227,0.996,0.0125,0.000321,75.5,387.0,0.0747
China,WBR,1996,0.015700000000000002,0.931,0.0455,0.0007109999999999999,70.1,26.4,0.0381
Cote d'Ivoire,WBR,1996,0.0599,0.0,0.154,0.0030600000000000002,51.3,44.7,0.0556
Cameroon,AFR,1996,0.0589,0.0,0.152,0.00399,56.2,34.5,0.0516
"Congo, Dem. Rep.",WBR,1996,0.07150000000000001,0.0,0.174,0.00293,52.0,4.41,0.0346
